"site_id_with_pcr","week_end","site_id","mean_pcr_target_flowpop_lin","all_pcr_target_flowpop_lin","wval_site_wk","all_sample_collect_dates","days_since_first_sample","baseline_avg_conc_ln","last_baseline_ln","last_std_ln","std_avg_conc_ln","pcr_target_below_lod","pcr_target","all_ww_index_ln_lin","source","county_names","wval_site_wk_level"
"15003-005-01-00-00_rsv",2024-04-20,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-04-17, 2024-04-15",147,12.1769053324362,12.1769053324362,0.831224929776677,0.301892816965353,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-04-27,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-04-24, 2024-04-22",154,12.1769053324362,12.1769053324362,0.831224929776677,0.287998539846103,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-05-04,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-05-02, 2024-04-29",161,12.1769053324362,12.1769053324362,0.831224929776677,0.275848035501164,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-05-11,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-05-08, 2024-05-06",168,12.1769053324362,12.1769053324362,0.831224929776677,0.265107266320839,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-05-18,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-05-15, 2024-05-13",175,12.1769053324362,12.1769053324362,0.831224929776677,0.255524746406329,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-05-25,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-05-22, 2024-05-20",182,12.1769053324362,12.1769053324362,0.831224929776677,0.246907245170762,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-06-01,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-05-29, 2024-05-28",190,12.1769053324362,12.1769053324362,0.831224929776677,0.239103621401198,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-06-08,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-06-05, 2024-06-03",196,12.1769053324362,12.1769053324362,0.831224929776677,0.231993785958908,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-06-15,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-06-12, 2024-06-10",203,12.1769053324362,12.1769053324362,0.831224929776677,0.225480988553091,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-06-22,"15003-005-01-00-00",1706485.40771299,"2810089.53528626, 602881.280139718",14.3961963028514,"2024-06-19, 2024-06-17",210,12.1769053324362,12.1769053324362,0.831224929776677,0.282113358661934,"no","rsv","24.886323165876, 3.90606943982679","CDC_VERILY",15003,"Very High"
"15003-005-01-00-00_rsv",2024-06-29,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-06-26, 2024-06-24",217,12.1769053324362,12.1769053324362,0.831224929776677,0.497790727029185,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-07-06,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-07-03, 2024-07-01",224,12.1769053324362,12.1769053324362,0.831224929776677,0.486238849062311,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-07-13,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-07-10, 2024-07-08",231,12.1769053324362,12.1769053324362,0.831224929776677,0.475450165664516,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-005-01-00-00_rsv",2024-07-20,"15003-005-01-00-00",194250.789473684,"194250.789473684, 194250.789473684",1,"2024-07-17, 2024-07-15",238,12.1769053324362,12.1769053324362,0.831224929776677,0.46534480121563,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
